year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,4.094979519107225e-5,Myctophids,SoCal Shelf
1979-01-01T00:00:00Z,2.4773978504235095e-5,Myctophids,SoCal Shelf
1980-01-01T00:00:00Z,8.7103108087446e-6,Myctophids,SoCal Shelf
1981-01-01T00:00:00Z,3.323978425999355e-5,Myctophids,SoCal Shelf
1982-01-01T00:00:00Z,1.774558718132953e-5,Myctophids,SoCal Shelf
1983-01-01T00:00:00Z,3.559011093759648e-5,Myctophids,SoCal Shelf
1984-01-01T00:00:00Z,2.9598496559098334e-5,Myctophids,SoCal Shelf
1985-01-01T00:00:00Z,9.332146092307019e-6,Myctophids,SoCal Shelf
1986-01-01T00:00:00Z,2.697056461064723e-5,Myctophids,SoCal Shelf
1987-01-01T00:00:00Z,1.1384341092560488e-5,Myctophids,SoCal Shelf
1988-01-01T00:00:00Z,1.0113490683566429e-5,Myctophids,SoCal Shelf
1989-01-01T00:00:00Z,6.119232100636377e-6,Myctophids,SoCal Shelf
1990-01-01T00:00:00Z,1.331740641327893e-5,Myctophids,SoCal Shelf
1991-01-01T00:00:00Z,9.520247668652688e-6,Myctophids,SoCal Shelf
1992-01-01T00:00:00Z,3.7701618830711294e-5,Myctophids,SoCal Shelf
1993-01-01T00:00:00Z,2.0961669831156648e-5,Myctophids,SoCal Shelf
1994-01-01T00:00:00Z,1.7022736665224844e-5,Myctophids,SoCal Shelf
1995-01-01T00:00:00Z,1.085411051381405e-5,Myctophids,SoCal Shelf
1996-01-01T00:00:00Z,6.8410499352688675e-6,Myctophids,SoCal Shelf
1997-01-01T00:00:00Z,8.376286242502117e-6,Myctophids,SoCal Shelf
1998-01-01T00:00:00Z,7.163405147133974e-5,Myctophids,SoCal Shelf
1999-01-01T00:00:00Z,1.966277829236314e-6,Myctophids,SoCal Shelf
2000-01-01T00:00:00Z,3.2530680285168793e-6,Myctophids,SoCal Shelf
2001-01-01T00:00:00Z,3.696109022712027e-6,Myctophids,SoCal Shelf
2002-01-01T00:00:00Z,4.401589373858953e-6,Myctophids,SoCal Shelf
2003-01-01T00:00:00Z,1.61915809231478e-5,Myctophids,SoCal Shelf
2004-01-01T00:00:00Z,1.3197689141218813e-5,Myctophids,SoCal Shelf
2005-01-01T00:00:00Z,1.8546836797940707e-6,Myctophids,SoCal Shelf
2006-01-01T00:00:00Z,2.0536498659651035e-6,Myctophids,SoCal Shelf
2007-01-01T00:00:00Z,1.7303206753539947e-6,Myctophids,SoCal Shelf
2008-01-01T00:00:00Z,1.3512300673391854e-6,Myctophids,SoCal Shelf
2009-01-01T00:00:00Z,5.096490738508288e-6,Myctophids,SoCal Shelf
2010-01-01T00:00:00Z,2.6102891889794843e-6,Myctophids,SoCal Shelf
2011-01-01T00:00:00Z,2.0856954634845206e-6,Myctophids,SoCal Shelf
2012-01-01T00:00:00Z,3.6548746746032655e-6,Myctophids,SoCal Shelf
2013-01-01T00:00:00Z,6.349164720262396e-6,Myctophids,SoCal Shelf
2014-01-01T00:00:00Z,2.7919386164238883e-5,Myctophids,SoCal Shelf
2015-01-01T00:00:00Z,5.2024882300403746e-5,Myctophids,SoCal Shelf
2016-01-01T00:00:00Z,5.723160540068604e-5,Myctophids,SoCal Shelf
2017-01-01T00:00:00Z,3.571788533161862e-6,Myctophids,SoCal Shelf
2018-01-01T00:00:00Z,1.7611852838895473e-5,Myctophids,SoCal Shelf
